丅	一 丨
㐆	丿 丿 彐 乛
㐬	亠 厶 丿 丨 乛
㓁	冖 八
㔾	乛 乛
㝵	日 一 寸
㡀	丶 丿 丨 乛 丨 丿 丶
丐	一 丨 乛 乛
丣	一 丿 一 乛 丨 乛 一
並	丷 亚
丱	丩 丨 一 丨
乁	一 丶
乾	十 日 十 乞
亞	亚
仝	人 工
佇	人 宁
倉	人 丶 丿 乛 一 一 口
僕	人 业 美
兇	乂 凵 儿
兊	公 儿
兌	八 口 儿
兒	臼 儿
兓	一 乛 丿 乛 一 乛 丿 乛
兖	亠 公 儿
兗	亠 八 口 儿
內	入 冂
具	目 一 八
具	目 一 八
下	一 丿 丶
冀	北 田 共
冃	冂 二
円	冂 丄
冊	冂 艹
処	夂 几
凳	乛 丶 丿 丿 ㄟ 一 口 丷 一 几
別	别
動	重 力
務	矛 务
勝	月 龹 力
勢	土 八 土 丸 力
勻	勹 二
匧	匚 大 人 人
匸	一 乛
匽	匚 日 文
卂	乁 十
卣	丨 一 囗 乛 一
參	厶 厶 厶 大 丿 丿 丿
吳	口 乛 大
呂	口 丨 口
哀	亠 口 𧘇
哥	丁 口 丁 口
唇	辰 口
單	口 口 田 十
喲	哟
嚴	口 口 厂 敢
囊	一 丨 乛 一 丨 冖 口 口 一 一 丨 丨 一 𧘇
囙	口 乛 一
囬	口 丨 丨 一 一
國	口 或
圜	口 罒 一 口 𧘇
堅	臣 又 土
堯	土 土 土 兀
報	幸 卩  又
塵	鹿 土
壓	厂 日 月 犬 土
壘	田 田 田 土
壞	土 亠 罒 氺 𧘇
壯	爿 士
壽	士 乛 工 一 口 寸
夃	乃 又
夅	夂 一 乛 丨
夨	一 ㇉ 丶
夾	大 人 人
奐	⺈ 丨 乛 八 大
奧	丿 丨 乛 丿 米 大
姦	女 女 女
婴	贝 贝 女
媷	女 辱
將	爿 夕 寸
展	尸 艹 一 乛 丿 ㄟ
屬	尸 氺 蜀
岡	冂 丷 一 山
巛	乛 乛 乛
癶	乛 丶 丿 丿 ㄟ
貝	目 八
鬥	丨 王 王 亅
龷	艹 一 乛 乛
丏	一 丨 
𠂔	丿 乛 丨 丿
𠂢	厂 丿 𠄌 丿 丶
𠤏	匕 十
𢦏	十 戈
𤇾	火 火 冖
𦥯	丿 丨 一 一 乂 乂 ㇆ 一 一 冖
匕	丿 乛
亚	一 业
