丅	xxal
㐆	ybpv
㐆	yipv
㐬	lqwv
㓁	whbb
㔾	jpvv
㝵	deoc
㡀	bidd
丐	gdxb
丐	gdvp
丣	yzaa
並	bkby
丱	grvl
丱	klvl
乁	yiad
乁	jiad
乾	qmuq
乾	gjuq
仝	tsrg
佇	zurd
倉	chrk
僕	purd
兇	xsxe
兊	dvbe
兊	rvbe
兊	ytbe
兌	dvbe
兌	rvbe
兌	ytbe
兒	eeje
兓	qbir
兓	jiir
兓	zair
兖	yjwe
兗	yjwe
內	nwrk
具	juob
下	xxab
下	xxad
冃	mcke
円	yrka
冊	cekc
処	iuwj
凳	dgvj
別	bpkd
動	dsvl
務	wusl
勝	ugol
勢	uitl
勻	yybe
匧	qpkr
匸	xiav
匽	yjan
卂	xyau
卣	yzba
參	cjsp
參	ufsp
參	cfsp
參	sjsp
吳	wukd
呂	lvkk
哥	geal
單	djku
單	ujku
單	ijku
嚴	yjky
囙	ybka
囬	hvka
國	gokg
堅	jmit
堯	yctw
報	bcty
塵	ifgt
壓	yait
壘	lwtt
壞	hkty
壯	zlpu
壽	uzuc
夃	guny
夃	ykny
夅	jlxl
夅	xlxl
夅	jlwl
夅	xlwl
夨	cevd
夾	jxdr
夾	gadr
夾	xxdr
奐	hrdd
奧	acpd
奧	yupd
姦	jmnn
婴	ykkn
將	jlpc
屬	uuui
屬	zuui
岡	ghke
巛	irvv
癶	bovn
貝	bwob
鬥	dzll
龷	gscv
丏	mmal
𠂔	zipp
𠂢	pdid
𠤏	bcbu
𢦏	zdug
𤇾	ykhb
𦥯	xtpb
匕	bivp
亚	yaay
丁	dkal
丁	zgal
丂	kcav
丂	qnav
丂	yuav
七	qiav
七	qipv
丄	uhla
万	wjab
万	moab
万	wjad
万	moad
丈	zhax
三	sjae
三	sjaa
上	uhaa
上	uhda
丌	qial
丌	jial
不	buad
不	fzad
丑	izva
丒	izra
且	qpoa
且	juoa
丕	piba
世	uina
丗	uinl
丗	uiuk
丘	qqig
丘	qqia
丙	bkak
丞	igla
丢	dqps
丠	qqda
両	llak
并	bkbk
丫	yadl
丬	pjdl
中	zskl
丮	jial
丯	jplp
丰	fgpl
丰	fgsl
串	irkl
串	irvk
丳	ijip
丵	zoyg
丷	badp
